Volcano_Number,Volcano_Name,Country,Primary_Volcano_Type,Type_group,Tectonic_Setting,Last_Eruption_Year,years_since,dated
255030,Loloru,Papua New Guinea,Compound,Stratovolcano / complex,Subduction zone / Crustal thickness unknown,-1050.0,3076.0,True
315001,Buzzard Creek,United States,Tuff ring(s),Monogenetic / field,Subduction zone / Continental crust (> 25 km),-1050.0,3076.0,True
211080,Marsili,Italy,Complex,Stratovolcano / complex,,-1050.0,3076.0,True
300552,Bliznetsy,Russia,Lava cone,Monogenetic / field,Subduction zone / Continental crust (> 25 km),-1060.0,3086.0,True
341003,"San Luis, Isla",Mexico,Tuff cone,Monogenetic / field,Rift zone / Continental crust (> 25 km),-1141.0,3167.0,True
311140,Koniuji,United States,Stratovolcano,Stratovolcano / complex,Subduction zone / Intermediate crust (15-25 km),-1150.0,3176.0,True
327120,Zuni-Bandera,United States,Volcanic field,Monogenetic / field,Rift zone / Continental crust (> 25 km),-1170.0,3196.0,True
341091,"Malinche, La",Mexico,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),-1170.0,3196.0,True
331011,Cobb Segment,Canada,Fissure vent(s),Monogenetic / field,Rift zone / Oceanic crust (< 15 km),-1180.0,3206.0,True
373070,Fremrinamar,Iceland,Stratovolcano,Stratovolcano / complex,Rift zone / Oceanic crust (< 15 km),-1200.0,3226.0,True
231110,"Haylan, Jabal",Yemen,Volcanic field,Monogenetic / field,Intraplate / Continental crust (> 25 km),-1200.0,3226.0,True
322190,Jordan Craters,United States,Volcanic field,Monogenetic / field,Rift zone / Continental crust (> 25 km),-1250.0,3276.0,True
358062,Aguilera,Chile,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),-1253.0,3279.0,True
314010,St. Paul Island,United States,Shield,Shield,Intraplate / Continental crust (> 25 km),-1280.0,3306.0,True
354050,Yucamane,Peru,Stratovolcano(es),Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),-1320.0,3346.0,True
341070,"Toluca, Nevado de",Mexico,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),-1350.0,3376.0,True
300700,Severny,Russia,Shield,Shield,Subduction zone / Continental crust (> 25 km),-1550.0,3576.0,True
311111,Moffett,United States,Stratovolcano,Stratovolcano / complex,Subduction zone / Intermediate crust (15-25 km),-1600.0,3626.0,True
312190,Griggs,United States,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),-1790.0,3816.0,True
312050,Dana,United States,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),-1890.0,3916.0,True
312080,Black Peak,United States,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),-1900.0,3926.0,True
214070,Ghegham Volcanic Ridge,Armenia,Volcanic field,Monogenetic / field,Intraplate / Continental crust (> 25 km),-1900.0,3926.0,True
382040,Graciosa,Portugal,Stratovolcano,Stratovolcano / complex,Rift zone / Oceanic crust (< 15 km),-1950.0,3976.0,True
214080,Vaiyots-Sar,Armenia,Pyroclastic cone(s),Monogenetic / field,Intraplate / Continental crust (> 25 km),-2000.0,4026.0,True
225030,"Marra, Jebel",Sudan,Volcanic field,Monogenetic / field,Intraplate / Continental crust (> 25 km),-2000.0,4026.0,True
283262,Megata,Japan,Maar(s),Monogenetic / field,Subduction zone / Continental crust (> 25 km),-2050.0,4076.0,True
300680,Ostry,Russia,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),-2050.0,4076.0,True
233005,Mayotte,France,Shield,Shield,Intraplate / Oceanic crust (< 15 km),-2050.0,4076.0,True
315040,Edgecumbe,United States,Volcanic field,Monogenetic / field,Intraplate / Continental crust (> 25 km),-2080.0,4106.0,True
223001,Fort Portal Volcanic Field,Uganda,Volcanic field,Monogenetic / field,Rift zone / Continental crust (> 25 km),-2120.0,4146.0,True
328010,Dotsero,United States,Maar,Monogenetic / field,Rift zone / Continental crust (> 25 km),-2200.0,4226.0,True
300511,Shisheika,Russia,Lava dome,Monogenetic / field,Subduction zone / Continental crust (> 25 km),-2240.0,4266.0,True
331040,Escanaba Segment,United States,Fissure vent(s),Monogenetic / field,Rift zone / Oceanic crust (< 15 km),-2260.0,4286.0,True
355210,"Blanco, Cerro",Argentina,Caldera,Caldera,Subduction zone / Continental crust (> 25 km),-2300.0,4326.0,True
352031,Aliso,Ecuador,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),-2450.0,4476.0,True
332030,Mauna Kea,United States,Shield,Shield,Intraplate / Oceanic crust (< 15 km),-2460.0,4486.0,True
231001,"Ash Shaam, Harrat",Syria-Jordan-Saudi Arabia,Volcanic field,Monogenetic / field,Intraplate / Continental crust (> 25 km),-2670.0,4696.0,True
322100,Davis Lake,United States,Volcanic field,Monogenetic / field,Subduction zone / Continental crust (> 25 km),-2790.0,4816.0,True
322160,Crater Lake,United States,Caldera,Caldera,Subduction zone / Continental crust (> 25 km),-2850.0,4876.0,True
259010,Newer Volcanics Province,Australia,Volcanic field,Monogenetic / field,Intraplate / Continental crust (> 25 km),-2900.0,4926.0,True
225050,Meidob Volcanic Field,Sudan,Volcanic field,Monogenetic / field,Intraplate / Continental crust (> 25 km),-2950.0,4976.0,True
